dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00037,2019-02-01 00:08:44,2019-02-01 00:23:35,264,265,
B00037,2019-02-01 00:27:51,2019-02-01 00:32:54,264,265,
B00037,2019-02-01 00:18:30,2019-02-01 00:25:45,264,265,
B00037,2019-02-01 00:43:15,2019-02-01 00:48:29,264,265,
B00037,2019-02-01 00:01:45,2019-02-01 00:09:13,264,265,
B00037,2019-02-01 00:03:51,2019-02-01 00:16:36,264,265,
B00037,2019-02-01 00:07:04,2019-02-01 00:13:47,264,265,
B00037,2019-02-01 00:02:09,2019-02-01 00:07:32,264,265,
B00095,2019-02-01 00:18:58,2019-02-01 00:25:52,264,265,
B00095,2019-02-01 00:59:51,2019-02-01 01:06:07,264,265,
B00112,2019-02-01 00:01:28,2019-02-01 00:10:33,264,265,
B00112,2019-02-01 00:25:39,2019-02-01 00:25:43,264,265,
B00112,2019-02-01 00:47:31,2019-02-01 01:16:05,264,265,
B00112,2019-02-01 00:00:07,2019-02-01 00:33:15,264,265,
B00131,2019-02-01 00:57:35,2019-02-01 01:09:06,264,265,
B00160,2019-02-01 00:32:00,2019-02-01 00:36:00,264,264,
B00160,2019-02-01 00:07