hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0003,B02864,2020-01-01 00:45:34,2020-01-01 01:02:20,148,90,
HV0003,B02682,2020-01-01 00:47:50,2020-01-01 00:53:23,114,79,
HV0003,B02764,2020-01-01 00:04:37,2020-01-01 00:21:49,4,125,
HV0003,B02764,2020-01-01 00:26:36,2020-01-01 00:33:00,231,113,
HV0003,B02764,2020-01-01 00:37:49,2020-01-01 00:46:59,114,144,
HV0003,B02764,2020-01-01 00:49:23,2020-01-01 01:07:26,144,137,
HV0003,B02870,2020-01-01 00:21:11,2020-01-01 00:36:58,249,148,
HV0003,B02870,2020-01-01 00:38:28,2020-01-01 00:42:38,148,4,
HV0003,B02870,2020-01-01 00:46:26,2020-01-01 01:09:55,79,7,
HV0003,B02836,2020-01-01 00:15:35,2020-01-01 00:23:21,140,236,
HV0003,B02836,2020-01-01 00:28:04,2020-01-01 01:13:35,75,149,
HV0003,B02875,2020-01-01 00:14:22,2020-01-01 00:40:02,33,229,
HV0003,B02875,2020-01-01 00:45:02,2020-01-01 00:59:11,229,74,
HV0003,B02764,2020-01-01 00:16:55,2020-01-01 00:42:36,114,238,
HV0003,B02617,2020-01-01 00:40:01